"Ten,","ngay,",LuongVao(m3/s),Luongvao(m3),QuaNhaMay(m3/s),Luuluong(m3),Dien_nang (KW)
"sonLa,","04/03/2023,",85,306000,0,0,0
"sonLa,","03/03/2023,",280,1008000,0,0,0
"sonLa,","02/03/2023,",475,1710000,938,3376800,79730
"sonLa,","01/03/2023,",311,1119600,173,622800,14705
"sonLa,","28/02/2023,",488,1756800,557,2005200,47345
"sonLa,","27/02/2023,",385,1386000,385,1386000,32725
"sonLa,","26/02/2023,",331,1191600,0,0,0
"sonLa,","25/02/2023,",190,684000,0,0,0
"sonLa,","24/02/2023,",121,435600,0,0,0
"sonLa,","23/02/2023,",455,1638000,670,2412000,56950
"sonLa,","22/02/2023,",386,1389600,836,3009600,71060
"sonLa,","21/02/2023,",380,1368000,430,1548000,36550
"sonLa,","20/02/2023,",286,1029600,1197,4309200,101745
"sonLa,","19/02/2023,",556,2001600,0,0,0
"sonLa,","17/02/2023,",268,964800,0,0,0
"sonLa,","16/02/2023,",229,824400,335,1206000,28475
"sonLa,","15/02/2023,",702,2527200,28,100800,2380
"sonLa,","14/02/2023,",224,806400,0,0,0
"sonLa,","13/02/2023,",206,741600,0,0,0
"sonLa,","12/02/2023,",1648,5932800,263,946800,22355
